date,open,high,low,close,Volume USDT,fng_value
2018-02-01 00:00:00,10285.1,10335,10215.07,10263.18,5743468.18,30
2018-02-01 01:00:00,10263.18,10328.98,10216,10247.49,5778015.86,30
2018-02-01 02:00:00,10247.49,10317.73,10176.89,10199.85,4631328.37,30
2018-02-01 03:00:00,10199.85,10250.79,9959.04,10069.8,7052343.7,30
2018-02-01 04:00:00,10069.8,10256,10000.01,10245.79,6164599.13,30
2018-02-01 05:00:00,10245.79,10275.47,10193.45,10238,3790542.75,30
2018-02-01 06:00:00,10238,10238,10080.33,10092.14,4339200.26,30
2018-02-01 07:00:00,10092.14,10191.73,10057.3,10074.11,3896398.09,30
2018-02-01 08:00:00,10063.75,10078.1,9720,9940.31,18701693.95,30
2018-02-01 09:00:00,9940.31,9964.91,9554,9579,16555080.79,30
2018-02-01 10:00:00,9576.1,9679,9501,9501.9,19150548.32,30
2018-02-01 11:00:00,9501.9,9725,9500,9591.44,12560395.87,30
2018-02-01 12:00:00,9591.44,9665.58,9320,9480,15678290.65,30
2018-02-01 13:00:00,9480,9490,9224,9294.95,16834706.6,30
2018-02-01 14:00:00,9294.95,9580,9294.95,9430.15,15527354.41,30
2018-02-01 15:00:00,9430.15,9480,9240.01,9339.87,10125813.38,30
2018-02-01 16:00:00,9339.87,9340,9011.51,9066.66,24478395.02,30
2018-02-01 17:00:00,9066.66,9191.3,9040,9102.33,13576683.16,30
2018-02-01 18:00:00,9102.33,9203.88,9070,9130.03,7395588.93,30
2018-02-01 19:00:00,9130.03,9140,8900,8932.16,17259529.93,30
2018-02-01 20:00:00,8941.94,9463,8750.99,9399.96,30146392.14,30
2018-02-01 21:00:00,9399.96,9560.01,9203,9355.89,18257953.91,30
2018-02-01 22:00:00,9355.89,9448,9118.9,9119.99,10971091.42,30
2018-02-01 23:00:00,9120,9349.15,9100,9224.52,7558496.74,30
2018-02-02 00:00:00,9224.52,9250,8834.6,8860.03,15664252.19,15
2018-02-02 01:00:00,8860.03,9000,8734,8765.07,14727710.96,15
2018-02-02 02:00:00,8765.07,9099.85,8750.01,9089.3,9713981.66,15
2018-02-02 03:00:00,9089.3,9120,8823.97,8883.11,11079755.87,15
2018-02-02 04:00:00,8883.11,8925,8750,8855.11,8865020.96,15
2018-02-02 05:00:00,8855.11,8870.34,8750,8779.02,8140711.79,15
2018-02-02 06:00:00,8779.02,8820,8505,8726.67,24377796.83,15
2018-02-02 07:00:00,8726.67,8889,8630.4,8673.11,11519041.97,15
2018-02-02 08:00:00,8673.11,8691.09,8440.51,8506.48,15489808.93,15
2018-02-02 09:00:00,8506.48,8650,8281,8563.62,19845188.39,15
2018-02-02 10:00:00,8563.62,8563.62,8333.79,8337.21,8454035.1,15
2018-02-02 11:00:00,8337.21,8425,8250.92,8299.75,15343070.83,15
2018-02-02 12:00:00,8299.75,8650,8010.02,8464.75,32051867.63,15
2018-02-02 13:00:00,8464.75,8880.08,8430.03,8878.06,45014885.01,15
2018-02-02 14:00:00,8878.06,9120,8534.66,8721.38,41314504.24,15
2018-02-02 15:00:00,8749.99,9094.8,8666.03,9070,19087109.76,15
2018-02-02 16:00:00,9070,9210,8844.05,9180,20307926.79,15
2018-02-02 17:00:00,9180,9247.79,8650.02,8706.65,18486791.41,15
2018-02-02 18:00:00,8706.65,8895.99,8583,8647.91,13044940.69,15
2018-02-02 19:00:00,8647.91,8797,8501,8699.72,14526134.9,15
2018-02-02 20:00:00,8699.72,8869.98,8612,8668,9030025.36,15
2018-02-02 21:00:00,8668,8725,8556.93,8618.9,6078038.03,15
2018-02-02 22:00:00,8618.9,8869,8575.07,8824.87,7554969.4,15
2018-02-02 23:00:00,8824.87,8967.45,8770,8873.03,7341026.83,15
2018-02-03 00:00:00,8873.03,8920,8730,8826,6030903.67,40
2018-02-03 01:00:00,8826,8835,8569.21,8643,9790542.51,40
2018-02-03 02:00:00,8643,8710.25,8526,8550.65,5734598.15,40
2018-02-03 03:00:00,8550.65,8550.68,8233,8344.81,18703056.84,40
2018-02-03 04:00:00,8344.81,8549.99,8229,8464.48,11017324.91,40
2018-02-03 05:00:00,8464.48,8571,8331,8516.3,7723669.83,40
2018-02-03 06:00:00,8516.3,8771.95,8450.63,8715,7471505.1,40
2018-02-03 07:00:00,8715,8788,8630.77,8708.82,7086578.94,40
2018-02-03 08:00:00,8708.82,8989,8579,8934,12328468.7,40
2018-02-03 09:00:00,8934,9048.99,8863.92,8928.89,9660131.11,40
2018-02-03 10:00:00,8928.89,8928.89,8729.68,8830.01,9572248.32,40
2018-02-03 11:00:00,8830.01,9123,8765.82,9099.87,11161794.34,40
2018-02-03 12:00:00,9099.87,9148.9,8969,9070.02,9763096.48,40
2018-02-03 13:00:00,9056.89,9288.85,8969,9260,14215239.84,40
2018-02-03 14:00:00,9260,9429.99,9180.89,9348,16004676.98,40
2018-02-03 15:00:00,9348,9459.6,9100,9173,20385545.73,40
2018-02-03 16:00:00,9173,9327.19,9055,9325,12961053.29,40
2018-02-03 17:00:00,9325,9349.89,9172.01,9211.31,7649479.24,40
2018-02-03 18:00:00,9211.31,9401,9150,9399,7168260.95,40
2018-02-03 19:00:00,9399,9400,9279,9339.43,6916557.36,40
2018-02-03 20:00:00,9339.43,9473.01,9260,9298.75,7794733.28,40
2018-02-03 21:00:00,9298.75,9298.92,9101,9154.96,7876907.49,40
2018-02-03 22:00:00,9154.96,9193.55,9069,9080.49,6179587.05,40
2018-02-03 23:00:00,9080.49,9218.98,9022,9199.96,6971256.57,40
2018-02-04 00:00:00,9199.96,9225,9030.39,9055.21,5383351.2,24
2018-02-04 01:00:00,9057.26,9120.39,8901.01,8920,6739595.04,24
2018-02-04 02:00:00,8920,9097,8906.24,9081.18,6205674.6,24
2018-02-04 03:00:00,9081.18,9250,9075.24,9219.18,5836089.78,24
2018-02-04 04:00:00,9219.18,9248,9075.01,9104.47,5333069.69,24
2018-02-04 05:00:00,9104.47,9260.42,9100.01,9260.42,4665393.1,24
2018-02-04 06:00:00,9260.42,9368,9251,9270.08,6761167.94,24
2018-02-04 07:00:00,9270.08,9330,9150.44,9200,4642100.03,24
2018-02-04 08:00:00,9200,9216,9060,9110,5163348.11,24
2018-02-04 09:00:00,9110,9110,8740,8830,19260004.3,24
2018-02-04 10:00:00,8829.99,8882.8,8714.92,8849.97,10281120.94,24
2018-02-04 11:00:00,8849.97,8999,8687.45,8691.99,9452962.67,24
2018-02-04 12:00:00,8691.99,8750.01,8419,8745.93,22920649.39,24
2018-02-04 13:00:00,8745.93,8771.95,8555,8681,10539487.44,24
2018-02-04 14:00:00,8681,8894.12,8604.25,8630,10985410.23,24
2018-02-04 15:00:00,8630,8750,8359.14,8419.96,13970809.57,24
2018-02-04 16:00:00,8419.96,8532.83,8300,8500,13973713.72,24
2018-02-04 17:00:00,8500,8579,8400,8481.95,7141614.19,24
2018-02-04 18:00:00,8481.95,8585,8300,8349.04,9188216.08,24
2018-02-04 19:00:00,8349.04,8368.94,8180,8264.2,13952830.98,24
2018-02-04 20:00:00,8264.2,8327.25,7930,8204.02,31399347.48,24
2018-02-04 21:00:00,8204.02,8250,8056.45,8081.83,12078607.07,24
2018-02-04 22:00:00,8081.83,8474,8060.11,8444,10668504.46,24
2018-02-04 23:00:00,8444,8461.16,8125.12,8184.81,8244317.76,24
2018-02-05 00:00:00,8184.81,8342.05,8165.03,8229.89,8400344.95,11
2018-02-05 01:00:00,8229.89,8229.89,7971.08,8104.08,15626262.01,11
2018-02-05 02:00:00,8104.08,8188,7910,8038.62,11974790.3,11
2018-02-05 03:00:00,8038.62,8250,8032.4,8137.23,10951470.66,11
2018-02-05 04:00:00,8137.23,8330,8000.21,8300.03,8216095.12,11
2018-02-05 05:00:00,8300.03,8382.8,8179.9,8179.93,7283057.96,11
2018-02-05 06:00:00,8179.93,8300,8011,8067.93,6767918.34,11
2018-02-05 07:00:00,8069,8200,7915.01,7965.01,12255575.79,11
2018-02-05 08:00:00,7965.01,7990,7800,7800,15940052.62,11
2018-02-05 09:00:00,7800,8049.99,7728,7857.18,14494506.83,11
2018-02-05 10:00:00,7857.18,7920.14,7680,7699.99,11649256.82,11
