day,date,nyhlr,high1,low1,close1,volume1
Tue,11-01-2022,1.1011,1.1011,1.1011,1.1011,0
Mon,10-31-2022,0.8623,0.8623,0.8623,0.8623,0
Fri,10-28-2022,0.7876,0.7876,0.7876,0.7876,0
Thu,10-27-2022,0.5937,0.5937,0.5937,0.5937,0
Wed,10-26-2022,0.8453,0.8453,0.8453,0.8453,0
Tue,10-25-2022,0.6194,0.6194,0.6194,0.6194,0
Mon,10-24-2022,0.1981,0.1981,0.1981,0.1981,0
Fri,10-21-2022,0.0729,0.0729,0.0729,0.0729,0
Thu,10-20-2022,0.0898,0.0898,0.0898,0.0898,0
Wed,10-19-2022,0.1064,0.1064,0.1064,0.1064,0
Tue,10-18-2022,0.3478,0.3478,0.3478,0.3478,0
Mon,10-17-2022,0.3583,0.3583,0.3583,0.3583,0
Fri,10-14-2022,0.1330,0.1330,0.1330,0.1330,0
Thu,10-13-2022,0.0310,0.0310,0.0310,0.0310,0
Wed,10-12-2022,0.0172,0.0172,0.0172,0.0172,0
Tue,10-11-2022,0.0241,0.0241,0.0241,0.0241,0
Mon,10-10-2022,0.0586,0.0586,0.0586,0.0586,0
Fri,10-07-2022,0.0478,0.0478,0.0478,0.0478,0
Thu,10-06-2022,0.1717,0.1717,0.1717,0.1717,0
Wed,10-05-2022,0.2622,0.2622,0.2622,0.2622,0
Tue,10-04-2022,0.3846,0.3846,0.3846,0.3846,0
Mon,10-03-2022,0.0717,0.0717,0.0717,0.0717,0
Fri,09-30-2022,0.0082,0.0082,0.0082,0.0082,0
Thu,09-29-2022,0.0097,0.0097,0.0097,0.0097,0
Wed,09-28-2022,0.0408,0.0408,0.0408,0.0408,0
Tue,09-27-2022,0.0167,0.0167,0.0167,0.0167,0
Mon,09-26-2022,0.0101,0.0101,0.0101,0.0101,0
Fri,09-23-2022,0.0072,0.0072,0.0072,0.0072,0
Thu,09-22-2022,0.0137,0.0137,0.0137,0.0137,0
Wed,09-21-2022,0.0591,0.0591,0.0591,0.0591,0
Tue,09-20-2022,0.0329,0.0329,0.0329,0.0329,0
Mon,09-19-2022,0.0655,0.0655,0.0655,0.0655,0
Fri,09-16-2022,0.0359,0.0359,0.0359,0.0359,0
Thu,09-15-2022,0.1022,0.1022,0.1022,0.1022,0
Wed,09-14-2022,0.1803,0.1803,0.1803,0.1803,0
Tue,09-13-2022,0.1619,0.1619,0.1619,0.1619,0
Mon,09-12-2022,1.1351,1.1351,1.1351,1.1351,0
Fri,09-09-2022,1.2413,1.2413,1.2413,1.2413,0
Thu,09-08-2022,0.2277,0.2277,0.2277,0.2277,0
Wed,09-07-2022,0.1134,0.1134,0.1134,0.1134,0
Tue,09-06-2022,0.0765,0.0765,0.0765,0.0765,0
Fri,09-02-2022,0.1782,0.1782,0.1782,0.1782,0
Thu,09-01-2022,0.0555,0.0555,0.0555,0.0555,0
Wed,08-31-2022,0.0687,0.0687,0.0687,0.0687,0
Tue,08-30-2022,0.0821,0.0821,0.0821,0.0821,0
Mon,08-29-2022,0.2189,0.2189,0.2189,0.2189,0
Fri,08-26-2022,0.2886,0.2886,0.2886,0.2886,0
Thu,08-25-2022,1.2647,1.2647,1.2647,1.2647,0
Wed,08-24-2022,0.5066,0.5066,0.5066,0.5066,0
Tue,08-23-2022,0.4677,0.4677,0.4677,0.4677,0
Mon,08-22-2022,0.2272,0.2272,0.2272,0.2272,0
Fri,08-19-2022,0.4561,0.4561,0.4561,0.4561,0
Thu,08-18-2022,1.8333,1.8333,1.8333,1.8333,0
Wed,08-17-2022,1.0294,1.0294,1.0294,1.0294,0
Tue,08-16-2022,3.0476,3.0476,3.0476,3.0476,0
Mon,08-15-2022,3.2105,3.2105,3.2105,3.2105,0
Fri,08-12-2022,2.3333,2.3333,2.3333,2.3333,0
Thu,08-11-2022,2.0357,2.0357,2.0357,2.0357,0
Wed,08-10-2022,2.6521,2.6521,2.6521,2.6521,0
Tue,08-09-2022,0.4482,0.4482,0.4482,0.4482,0
Mon,08-08-2022,2.1111,2.1111,2.1111,2.1111,0
Fri,08-05-2022,0.5869,0.5869,0.5869,0.5869,0
Thu,08-04-2022,0.7837,0.7837,0.7837,0.7837,0
Wed,08-03-2022,0.6944,0.6944,0.6944,0.6944,0
Tue,08-02-2022,1.0937,1.0937,1.0937,1.0937,0
Mon,08-01-2022,0.8541,0.8541,0.8541,0.8541,0
Fri,07-29-2022,0.9347,0.9347,0.9347,0.9347,0
Thu,07-28-2022,0.8800,0.8800,0.8800,0.8800,0
Wed,07-27-2022,0.7333,0.7333,0.7333,0.7333,0
Tue,07-26-2022,0.3000,0.3000,0.3000,0.3000,0
Mon,07-25-2022,0.4166,0.4166,0.4166,0.4166,0
Fri,07-22-2022,0.3555,0.3555,0.3555,0.3555,0
Thu,07-21-2022,0.2857,0.2857,0.2857,0.2857,0
Wed,07-20-2022,0.4193,0.4193,0.4193,0.4193,0
Tue,07-19-2022,0.2916,0.2916,0.2916,0.2916,0
Mon,07-18-2022,0.2833,0.2833,0.2833,0.2833,0
Fri,07-15-2022,0.1000,0.1000,0.1000,0.1000,0
Thu,07-14-2022,0.0079,0.0079,0.0079,0.0079,0
Wed,07-13-2022,0.0142,0.0142,0.0142,0.0142,0
Tue,07-12-2022,0.0632,0.0632,0.0632,0.0632,0
Mon,07-11-2022,0.0378,0.0378,0.0378,0.0378,0
Fri,07-08-2022,0.1250,0.1250,0.1250,0.1250,0
Thu,07-07-2022,0.1864,0.1864,0.1864,0.1864,0
Wed,07-06-2022,0.0659,0.0659,0.0659,0.0659,0
Tue,07-05-2022,0.0127,0.0127,0.0127,0.0127,0
Fri,07-01-2022,0.0585,0.0585,0.0585,0.0585,0
Thu,06-30-2022,0.0350,0.0350,0.0350,0.0350,0
Wed,06-29-2022,0.0452,0.0452,0.0452,0.0452,0
Tue,06-28-2022,0.1348,0.1348,0.1348,0.1348,0
Mon,06-27-2022,0.2153,0.2153,0.2153,0.2153,0
Fri,06-24-2022,0.1470,0.1470,0.1470,0.1470,0
Thu,06-23-2022,0.0153,0.0153,0.0153,0.0153,0
Wed,06-22-2022,0.0185,0.0185,0.0185,0.0185,0
Tue,06-21-2022,0.0696,0.0696,0.0696,0.0696,0
Fri,06-17-2022,0.0035,0.0035,0.0035,0.0035,0
Thu,06-16-2022,0.0009,0.0009,0.0009,0.0009,0
Wed,06-15-2022,0.0148,0.0148,0.0148,0.0148,0
Tue,06-14-2022,0.0047,0.0047,0.0047,0.0047,0
Mon,06-13-2022,0.0012,0.0012,0.0012,0.0012,0
Fri,06-10-2022,0.0159,0.0159,0.0159,0.0159,0
Thu,06-09-2022,0.1081,0.1081,0.1081,0.1081,0
Wed,06-08-2022,1.7843,1.7843,1.7843,1.7843,0
Tue,06-07-2022,1.4848,1.4848,1.4848,1.4848,0
Mon,06-06-2022,1.5370,1.5370,1.5370,1.5370,0
Fri,06-03-2022,2.0000,2.0000,2.0000,2.0000,0
Thu,06-02-2022,1.6842,1.6842,1.6842,1.6842,0
Wed,06-01-2022,1.0000,1.0000,1.0000,1.0000,0
Tue,05-31-2022,3.1818,3.1818,3.1818,3.1818,0
Fri,05-27-2022,2.4444,2.4444,2.4444,2.4444,0
Thu,05-26-2022,2.1750,2.1750,2.1750,2.1750,0
Wed,05-25-2022,0.5731,0.5731,0.5731,0.5731,0
Tue,05-24-2022,0.0815,0.0815,0.0815,0.0815,0
Mon,05-23-2022,0.2517,0.2517,0.2517,0.2517,0
Fri,05-20-2022,0.0412,0.0412,0.0412,0.0412,0
Thu,05-19-2022,0.0278,0.0278,0.0278,0.0278,0
Wed,05-18-2022,0.0693,0.0693,0.0693,0.0693,0
Tue,05-17-2022,0.2923,0.2923,0.2923,0.2923,0
Mon,05-16-2022,0.1702,0.1702,0.1702,0.1702,0
Fri,05-13-2022,0.0594,0.0594,0.0594,0.0594,0
Thu,05-12-2022,0.0038,0.0038,0.0038,0.0038,0
Wed,05-11-2022,0.0165,0.0165,0.0165,0.0165,0
Tue,05-10-2022,0.0054,0.0054,0.0054,0.0054,0
Mon,05-09-2022,0.0112,0.0112,0.0112,0.0112,0
Fri,05-06-2022,0.0454,0.0454,0.0454,0.0454,0
Thu,05-05-2022,0.1398,0.1398,0.1398,0.1398,0
Wed,05-04-2022,0.1596,0.1596,0.1596,0.1596,0
Tue,05-03-2022,0.0967,0.0967,0.0967,0.0967,0
Mon,05-02-2022,0.0207,0.0207,0.0207,0.0207,0
Fri,04-29-2022,0.0722,0.0722,0.0722,0.0722,0
Thu,04-28-2022,0.0420,0.0420,0.0420,0.0420,0
Wed,04-27-2022,0.0287,0.0287,0.0287,0.0287,0
Tue,04-26-2022,0.0229,0.0229,0.0229,0.0229,0
Mon,04-25-2022,0.0295,0.0295,0.0295,0.0295,0
Fri,04-22-2022,0.0485,0.0485,0.0485,0.0485,0
Thu,04-21-2022,0.6733,0.6733,0.6733,0.6733,0
Wed,04-20-2022,1.7731,1.7731,1.7731,1.7731,0
Tue,04-19-2022,0.3473,0.3473,0.3473,0.3473,0
Mon,04-18-2022,0.4890,0.4890,0.4890,0.4890,0
Thu,04-14-2022,0.5107,0.5107,0.5107,0.5107,0
Wed,04-13-2022,0.4564,0.4564,0.4564,0.4564,0
Tue,04-12-2022,0.3260,0.3260,0.3260,0.3260,0
Mon,04-11-2022,0.2122,0.2122,0.2122,0.2122,0
Fri,04-08-2022,0.5441,0.5441,0.5441,0.5441,0
Thu,04-07-2022,0.2605,0.2605,0.2605,0.2605,0
Wed,04-06-2022,0.2619,0.2619,0.2619,0.2619,0
Tue,04-05-2022,1.0517,1.0517,1.0517,1.0517,0
Mon,04-04-2022,2.1063,2.1063,2.1063,2.1063,0
Fri,04-01-2022,1.4605,1.4605,1.4605,1.4605,0
Thu,03-31-2022,1.6301,1.6301,1.6301,1.6301,0
Wed,03-30-2022,4.8000,4.8000,4.8000,4.8000,0
Tue,03-29-2022,1.5810,1.5810,1.5810,1.5810,0
Mon,03-28-2022,0.5395,0.5395,0.5395,0.5395,0
Fri,03-25-2022,0.9037,0.9037,0.9037,0.9037,0
Thu,03-24-2022,0.9693,0.9693,0.9693,0.9693,0
Wed,03-23-2022,1.0250,1.0250,1.0250,1.0250,0
Tue,03-22-2022,1.1081,1.1081,1.1081,1.1081,0
Mon,03-21-2022,1.9344,1.9344,1.9344,1.9344,0
Fri,03-18-2022,1.0350,1.0350,1.0350,1.0350,0
Thu,03-17-2022,0.7761,0.7761,0.7761,0.7761,0
Wed,03-16-2022,0.2528,0.2528,0.2528,0.2528,0
Tue,03-15-2022,0.0692,0.0692,0.0692,0.0692,0
Mon,03-14-2022,0.0441,0.0441,0.0441,0.0441,0
Fri,03-11-2022,0.1715,0.1715,0.1715,0.1715,0
Thu,03-10-2022,0.1825,0.1825,0.1825,0.1825,0
Wed,03-09-2022,0.1855,0.1855,0.1855,0.1855,0
Tue,03-08-2022,0.2160,0.2160,0.2160,0.2160,0
Mon,03-07-2022,0.3827,0.3827,0.3827,0.3827,0
Fri,03-04-2022,0.4981,0.4981,0.4981,0.4981,0
Thu,03-03-2022,0.8320,0.8320,0.8320,0.8320,0
Wed,03-02-2022,1.2828,1.2828,1.2828,1.2828,0
Tue,03-01-2022,0.8195,0.8195,0.8195,0.8195,0
Mon,02-28-2022,0.6538,0.6538,0.6538,0.6538,0
Fri,02-25-2022,0.6027,0.6027,0.6027,0.6027,0
Thu,02-24-2022,0.0277,0.0277,0.0277,0.0277,0
Wed,02-23-2022,0.0583,0.0583,0.0583,0.0583,0
Tue,02-22-2022,0.0890,0.0890,0.0890,0.0890,0
Fri,02-18-2022,0.1292,0.1292,0.1292,0.1292,0
Thu,02-17-2022,0.1346,0.1346,0.1346,0.1346,0
Wed,02-16-2022,0.4012,0.4012,0.4012,0.4012,0
Tue,02-15-2022,0.1878,0.1878,0.1878,0.1878,0
Mon,02-14-2022,0.0493,0.0493,0.0493,0.0493,0
Fri,02-11-2022,0.1786,0.1786,0.1786,0.1786,0
Thu,02-10-2022,0.2464,0.2464,0.2464,0.2464,0
Wed,02-09-2022,0.6148,0.6148,0.6148,0.6148,0
Tue,02-08-2022,0.2396,0.2396,0.2396,0.2396,0
Mon,02-07-2022,0.2663,0.2663,0.2663,0.2663,0
Fri,02-04-2022,0.2528,0.2528,0.2528,0.2528,0
Thu,02-03-2022,0.3733,0.3733,0.3733,0.3733,0
Wed,02-02-2022,1.3818,1.3818,1.3818,1.3818,0
Tue,02-01-2022,1.3125,1.3125,1.3125,1.3125,0
Mon,01-31-2022,0.2203,0.2203,0.2203,0.2203,0
Fri,01-28-2022,0.0184,0.0184,0.0184,0.0184,0
Thu,01-27-2022,0.0839,0.0839,0.0839,0.0839,0
Wed,01-26-2022,0.2279,0.2279,0.2279,0.2279,0
Tue,01-25-2022,0.1132,0.1132,0.1132,0.1132,0
Mon,01-24-2022,0.0088,0.0088,0.0088,0.0088,0
Fri,01-21-2022,0.0152,0.0152,0.0152,0.0152,0
Thu,01-20-2022,0.1212,0.1212,0.1212,0.1212,0
Wed,01-19-2022,0.1602,0.1602,0.1602,0.1602,0
Tue,01-18-2022,0.3244,0.3244,0.3244,0.3244,0
Fri,01-14-2022,0.5075,0.5075,0.5075,0.5075,0
Thu,01-13-2022,1.3300,1.3300,1.3300,1.3300,0
Wed,01-12-2022,2.0000,2.0000,2.0000,2.0000,0
