date,month,CPI
2018-02-14,Jan,2.1	
2018-03-13,Feb,2.2	
2018-04-11,Mar,2.4	
2018-05-10,Apr,2.5	
2018-06-12,May,2.8	
2018-07-12,Jun,2.9	
2018-08-10,Jul,2.9	
2018-09-13,Aug,2.7	
2018-10-11,Sep,2.3	
2018-11-14,Oct,2.5	
2018-12-12,Nov,2.2	
2019-01-11,Dec,1.9
2019-02-13,Jan,1.6	
2019-03-12,Feb,1.5	
2019-04-10,Mar,1.9	
2019-05-10,Apr,2.0	
2019-06-12,May,1.8	
2019-07-11,Jun,1.6	
2019-08-13,Jul,1.8	
2019-09-12,Aug,1.7	
2019-10-10,Sep,1.7	
2019-11-13,Oct,1.8	
2019-12-11,Nov,2.1	
2020-01-14,Dec,2.3
2020-02-13,Jan,2.5	
2020-03-11,Feb,2.3	
2020-04-10,Mar,1.5	
2020-05-12,Apr,0.3	
2020-06-10,May,0.1	
2020-07-14,Jun,0.6	
2020-08-12,Jul,1.0	
2020-09-11,Aug,1.3	
2020-10-13,Sep,1.4	
2020-11-12,Oct,1.2	
2020-12-10,Nov,1.2	
2021-01-13,Dec,1.4
2021-02-10,Jan,1.4	
2021-03-10,Feb,1.7	
2021-04-13,Mar,2.6	
2021-05-12,Apr,4.2	
2021-06-10,May,5.0
2021-07-13,Jun,5.4	
2021-08-11,Jul,5.4	
2021-09-14,Aug,5.3	
2021-10-13,Sep,5.4	
2021-11-10,Oct,6.2	
2021-12-10,Nov,6.8	
2022-01-12,Dec,7.0
2022-02-10,Jan,7.5	
2022-03-10,Feb,7.9	
2022-04-12,Mar,8.5	
2022-05-11,Apr,8.3	
2022-06-10,May,8.6	
2022-07-13,Jun,9.1	
2022-08-10,Jul,8.5	
2022-09-13,Aug,8.3	
2022-10-13,Sep,8.2	
2022-11-10,Oct,7.7	
2022-12-13,Nov,7.1	
2023-01-12,Dec,6.5
2023-02-14,Jan,6.4	
2023-03-14,Feb,6.0	
2023-04-12,Mar,5.0	
