date,open,high,low,close,volume,fng,fundrate,inflation
2018-02-14,8535.17,9489.6,8533.0,9449.99,370126692.728233,55,1.42,1.8
2018-02-15,9449.98,10219.5,9301.5,10000.09,512388484.73178285,71,1.42,1.8
2018-02-16,10000.89,10323.37,9666.0,10159.98,381103299.2238848,67,1.42,1.8
2018-02-17,10156.07,11075.07,10050.0,11039.55,446012696.1692673,74,1.42,1.8
2018-02-18,11039.55,11274.0,10080.0,10383.43,649423311.3100228,63,1.42,1.8
2018-02-19,10375.01,11250.0,10270.33,11153.0,443766562.68306607,67,1.42,1.8
2018-02-20,11147.11,11786.01,11100.59,11200.99,551573232.2429588,74,1.42,1.8
2018-02-21,11195.07,11304.03,10200.0,10437.6,731537130.492186,54,1.42,1.8
2018-02-22,10439.02,10933.44,9679.0,9811.04,682006373.869588,44,1.42,1.8
2018-02-23,9815.55,10435.0,9570.19,10131.04,571800753.4709765,39,1.42,1.8
2018-02-24,10131.04,10496.97,9352.0,9694.51,405618586.64803785,31,1.42,1.8
2018-02-25,9694.51,9847.0,9274.8,9590.0,271286599.1260862,33,1.42,1.8
2018-02-26,9590.0,10444.32,9350.0,10324.0,347559259.73845184,37,1.42,1.8
2018-02-27,10321.0,10870.0,10121.0,10569.04,324295371.1414657,44,1.42,1.8
2018-02-28,10584.33,11098.0,10300.0,10326.76,327914696.13067526,41,1.35,1.8
2018-03-01,10325.64,11060.41,10240.0,10920.0,268172535.3811293,38,1.42,1.8
2018-03-02,10923.36,11200.0,10770.0,11039.0,262936307.0078576,47,1.42,1.8
2018-03-03,11038.99,11544.0,11015.01,11464.48,241749497.9024717,56,1.42,1.8
2018-03-04,11464.47,11565.0,11050.02,11515.0,194849579.12502077,44,1.42,1.8
2018-03-05,11515.0,11710.0,11415.01,11454.0,174866951.39806527,55,1.42,1.8
2018-03-06,11455.0,11455.0,10555.48,10716.48,323842216.64859617,59,1.42,1.8
2018-03-07,10716.48,10899.0,9389.31,9910.0,514808033.4879209,37,1.42,1.8
2018-03-08,9910.0,10099.0,9060.0,9271.64,394641280.63843673,39,1.42,1.8
2018-03-09,9267.07,9410.0,8329.0,9227.0,567082901.1319405,37,1.42,1.8
2018-03-10,9230.0,9490.0,8667.07,8770.22,341210248.41481787,39,1.42,1.8
2018-03-11,8770.22,9740.0,8450.0,9533.57,403491260.9275316,40,1.42,1.8
2018-03-12,9533.57,9888.88,8780.0,9131.34,395562731.86503726,41,1.42,1.8
2018-03-13,9131.34,9474.0,8823.0,9150.0,367353984.7132836,41,1.42,1.8
2018-03-14,9151.92,9333.78,7900.28,8170.0,426058009.75594646,40,1.42,1.8103448275862069
2018-03-15,8184.01,8430.0,7650.0,8240.98,422130717.47310126,32,1.43,1.8206896551724137
2018-03-16,8240.98,8611.64,7900.0,8260.0,322355002.16519487,33,1.43,1.831034482758621
2018-03-17,8260.0,8348.62,7721.99,7824.8,265973111.6176285,31,1.43,1.841379310344828
2018-03-18,7824.01,8317.4,7322.0,8189.99,458311733.5188204,29,1.43,1.8517241379310343
2018-03-19,8189.0,8705.23,8088.4,8600.0,462654338.98212785,29,1.43,1.862068965517241
2018-03-20,8595.01,9050.0,8280.0,8909.98,387879393.4706143,37,1.44,1.8724137931034484
2018-03-21,8909.96,9177.01,8750.6,8885.0,358157473.3612324,36,1.44,1.8827586206896552
2018-03-22,8884.82,9100.0,8465.1,8722.9,354804129.3433086,36,1.68,1.8931034482758624
2018-03-23,8720.0,8909.0,8269.0,8898.03,340755592.544531,28,1.68,1.903448275862069
