,0.3835983
0,0.45232397
1,0.46711206
2,0.47137126
3,0.4497478
4,0.42631757
5,0.43131906
6,0.5315924
7,0.43747765
8,0.4543142
9,0.48187193
10,0.42685106
11,0.46531105
12,0.4881967
13,0.5517399
14,0.44431835
15,0.45269877
16,0.3881528
17,0.53675026
18,0.43177265
19,0.48725227
20,0.42497703
21,0.5649164
22,0.45221156
23,0.37785727
24,0.5581449
25,0.49473926
26,0.48307368
27,0.5018254
28,0.53312194
29,0.45821428
30,0.5298384
31,0.5084256
32,0.48921052
33,0.42492428
34,0.55320215
35,0.5109353
36,0.36913267
37,0.42959967
38,0.5542691
39,0.4529011
40,0.38817883
41,0.53937
42,0.43404454
43,0.47216392
44,0.52380365
45,0.56817144
46,0.57655555
47,0.5573823
48,0.44395232
49,0.5054735
50,0.49774146
51,0.3929043
52,0.5343583
53,0.49080282
54,0.49242207
55,0.47259745
56,0.581369
57,0.5424551
58,0.46700677
59,0.4809598
60,0.52801543
61,0.44584283
62,0.43959287
63,0.46961427
64,0.47475925
65,0.5465667
66,0.42892152
67,0.36847973
68,0.5474796
69,0.4257235
70,0.48648697
71,0.4252298
72,0.5698585
73,0.4601564
74,0.47863784
75,0.42055976
76,0.43117037
77,0.5479686
78,0.4680675
79,0.35939765
80,0.5000647
81,0.4233935
82,0.46380958
83,0.53184825
84,0.55381465
85,0.47129658
86,0.42433178
87,0.52555275
88,0.5213101
89,0.39115602
90,0.37315363
91,0.4407282
92,0.47654936
93,0.42845508
94,0.42845508
95,0.42845508
96,0.42845508
97,0.42845508
98,0.42845508
99,0.42845508
100,0.42845508
101,0.42845508
102,0.42845508
103,0.42845508
104,0.42845508
105,0.42845508
106,0.42845508
107,0.42845508
108,0.42845508
109,0.42845508
110,0.42845508
111,0.42845508
112,0.42845508
113,0.42845508
114,0.42845508
115,0.42845508
116,0.42845508
117,0.42845508
118,0.42845508
119,0.42845508
120,0.42845508
121,0.42845508
122,0.42845508
123,0.42845508
124,0.42845508
125,0.42845508
126,0.42845508
127,0.42845508
128,0.42845508
129,0.42845508
130,0.42845508
131,0.42845508
132,0.42845508
133,0.42845508
134,0.42845508
135,0.42845508
136,0.42845508
137,0.42845508
138,0.42845508
139,0.42845508
140,0.42845508
141,0.42845508
142,0.42845508
143,0.42845508
144,0.42845508
145,0.42845508
146,0.42845508
147,0.42845508
148,0.42845508
149,0.42845508
150,0.42845508
151,0.42845508
152,0.42845508
153,0.42845508
154,0.42845508
155,0.42845508
156,0.42845508
157,0.42845508
158,0.42845508
159,0.42845508
160,0.42845508
161,0.42845508
162,0.42845508
163,0.42845508
164,0.42845508
165,0.42845508
166,0.42845508
167,0.42845508
168,0.42845508
169,0.42845508
170,0.42845508
171,0.42845508
172,0.42845508
173,0.42845508
174,0.42845508
175,0.42845508
176,0.42845508
177,0.42845508
178,0.42845508
179,0.42845508
180,0.42845508
181,0.42845508
182,0.42845508
183,0.42845508
184,0.42845508
185,0.42845508
186,0.42845508
187,0.42845508
188,0.42845508
189,0.42845508
190,0.42845508
191,0.42845508
192,0.42845508
193,0.42845508
194,0.42845508
195,0.42845508
196,0.42845508
197,0.42845508
198,0.42845508
199,0.42845508
200,0.42845508
201,0.42845508
202,0.42845508
203,0.42845508
204,0.42845508
205,0.42845508
206,0.42845508
207,0.42845508
208,0.42845508
209,0.42845508
210,0.42845508
211,0.42845508
212,0.42845508
213,0.42845508
214,0.42845508
215,0.42845508
216,0.42845508
217,0.42845508
218,0.42845508
219,0.42845508
220,0.42845508
221,0.42845508
222,0.42845508
223,0.42845508
224,0.42845508
225,0.42845508
226,0.42845508
227,0.42845508
228,0.42845508
229,0.42845508
230,0.42845508
231,0.42845508
232,0.42845508
233,0.42845508
234,0.42845508
235,0.42845508
236,0.42845508
237,0.42845508
238,0.42845508
239,0.42845508
240,0.42845508
241,0.42845508
242,0.42845508
243,0.42845508
244,0.42845508
245,0.42845508
246,0.42845508
247,0.42845508
248,0.42845508
249,0.42845508
250,0.42845508
251,0.42845508
252,0.42845508
253,0.42845508
254,0.42845508
255,0.42845508
256,0.42845508
257,0.42845508
258,0.42845508
259,0.42845508
260,0.42845508
261,0.42845508
262,0.42845508
263,0.42845508
264,0.42845508
265,0.42845508
266,0.42845508
267,0.42845508
268,0.42845508
269,0.42845508
270,0.42845508
271,0.42845508
272,0.42845508
273,0.42845508
274,0.42845508
275,0.42845508
276,0.42845508
